mmsi,imo_no,callsgn,vessel_name,length,width,ship_type,draught,Destination,ulsan_bound,collected_at_utc,source_system,source_table,quality_flag,is_synthetic,is_liquid_cargo_vessel
440123456.0,9123456,LAZH8,CLIPPER GRACE,180,32,80.0,10.5,KR ULS,True,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,True
440987654.0,9987654,BPEF2,MU DAN YUAN,120,20,84.0,7.8,ULSAN,True,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,True
413380760.0,9809203,BQTK,ZHONG GU PENG LAI,180,32,,,KR PUS,True,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440051540.0,0,301,KCG D-01,46,11,,,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440414070.0,0,638,308SEOJIN,0,0,,,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
305854000.0,9504748,V2FY7,BBC CITRINE,153,23,,,KR MAS,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
441261000.0,9247302,D7UV,DONGJIN FIDES,130,20,,,JP HKT E2          J,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
636025785.0,1072567,5LZD7,PAN SKY,200,32,,,KR PUS,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440313250.0,9529970,SSD,DAEJIN 11HO,0,0,,,BUSAN/KOREA,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
636024382.0,9633109,5LSI3,POST MARVEL,235,38,,,KR YCH>RU VNN,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
636020905.0,9460899,5LBH4,GLOVIS COMPANION,200,32,,,CNSHA,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440600017.0,7626906,D8HD,SAM JUNG 5HO,50,9,,,BUSAN,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440605000.0,0,HLZM,KCG1503,0,0,,,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
273299180.0,9243708,UBRW5,FREGAT,54,9,,,KR BUS,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440103020.0,980414,980414,98CHEONGHAE,42,7,,,,True,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440500300.0,9323601,B210024,SONGRIM HO,72,12,,,BUSAN,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
412440664.0,0,BZUU,FUYUANYU7701,66,11,,,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
636023003.0,9325843,5LLL8,VOYAGER,174,27,,,SINGAPORE,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
356907000.0,9869980,H9QK,EVER CHANT,172,27,,,KR PUS NEW PORT    U,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440135870.0,0,SSD,BUSANIVDM,32,7,,,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440346000.0,9704300,D7PP,DONGJIN ENTERPRISE,141,25,,,>KR KAN,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
305854000.0,9504748,V2FY7,BBC CITRINE,153,23,,,KR MAS,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
441485000.0,9247297,D7UA,SUNNY DAHLIA,130,20,,,JP IYM OFF,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440108830.0,0,300,MUHAGSANHO,26,3,,,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440124440.0,6512263,041548,SAMYANG NO.1,30,9,,,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
413453290.0,9179476,BKTC6,HE YANG,136,22,,,PUS KR,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440000132.0,0,302,CHO SEUK 2,22,4,,,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440048680.0,9372377,084570,FC GRACE,111,18,,,KRPUS,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440410930.0,9288306,230007,CHARIS,99,14,,,BUSAN,True,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440800105.0,0,HLDB6,GNN0018,0,0,,,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
273378130.0,9000364,UBQM4,ANDROMEDA,120,16,,,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
352006235.0,1056056,3E7842,HAKATA EXPRESS,126,18,,,KRPUS WA           B,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440956000.0,9300960,DSON4,HANBADA,117,18,,,KRPUS,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
357422000.0,9720079,3ECV6,GINKGO ARROW,200,32,,,COBUN,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440627000.0,9693941,D7ND,HEUNG-A XIAMEN,141,25,,,KRPNC U-1,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440123456.0,9123456,D7AAA,ULSAN OILSTAR,180,32,80.0,10.5,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,True
440987654.0,9987654,D7BBB,PACIFIC CHEM,120,20,84.0,7.8,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,True
440111222.0,9111222,D7CCC,HANJIN BULK,220,32,70.0,12.0,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
440333444.0,9333444,D7DDD,ULSAN FERRY,90,15,60.0,4.5,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,OK,False,False
,9555666,D7EEE,MISSING MMSI BOAT,100,18,81.0,6.0,,False,2026-06-23 23:13:30.744032+00:00,AISSTREAM,VesselStaticDraft,MISSING_KEY,False,True
