port_agency_cd,port_agency_nm,entry_year,entry_count,callsgn,vessel_name,nationality_cd,nationality_nm,ship_kind_cd,ship_kind_nm,entry_purpose_cd,entry_purpose_nm,origin_port_cd,origin_port_nm,prev_port_cd,prev_port_nm,next_port_cd,next_port_nm,dest_port_cd,dest_port_nm,source_system,source_table,collected_at_utc,quality_flag,is_synthetic,ship_kind_category,is_liquid_cargo_vessel,is_domestic_voyage,port_agency_label
820,울산,2026,2,150032,강남6005호,KR,대한민국,79,기타 부선,,,,,,,,,,,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,False,울산항
820,울산,2026,3,D7AD,코리아 케미,KR,대한민국,53,케미칼 운반선,03,적하,KRYOS,여수,KRYOS,여수,,,,,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,목재선,False,True,울산항
820,울산,2026,12,DSPH2,거영스타호,KR,대한민국,53,케미칼 운반선,03,적하,KRUSN,울산,KRUSN,울산,JPYOK,YOKOHAMA,JPYOK,YOKOHAMA,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,목재선,False,True,울산항
820,울산,2026,54,224816,루비오션호,KR,대한민국,52,석유제품 운반선,01,양적하,KRPUS,부산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,13,9V2137,PRINCESS IRIS,SG,싱가포르,52,석유제품 운반선,03,적하,KRUSN,울산,KRUSN,울산,,,,,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,23,190027,지르콘,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,19,150071,영진호,KR,대한민국,52,석유제품 운반선,03,적하,KRUSN,울산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,21,D7MJ,103 효동케미,KR,대한민국,53,케미칼 운반선,03,적하,KRTSN,대산,KRTSN,대산,KRYOS,여수,KRYOS,여수,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,목재선,False,True,울산항
820,울산,2026,18,300KTSRED,케이티에스 레드,KR,대한민국,52,석유제품 운반선,02,양하,KRTSN,대산,KRTSN,대산,KRTSN,대산,KRTSN,대산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,60,244807,블루오션,KR,대한민국,93,급유선,03,적하,KRYOS,여수,KRYOS,여수,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,부선,False,True,울산항
820,울산,2026,3,3FBL9,쭈꾸바 갤락시,PA,파나마,52,석유제품 운반선,03,적하,TWMLI,MAI-LIAO,TWMLI,MAI-LIAO,GTPRQ,PUERTO QUETZAL,GTPRQ,PUERTO QUETZAL,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,False,울산항
820,울산,2026,22,039076,울산705호,KR,대한민국,61,견인용예선,02,양하,KRUSN,울산,KRDBL,대불,KRMOK,목포,KRUSN,울산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,여객선,False,True,울산항
820,울산,2026,3,XVHR7,PROGRESS,VN,베트남,41,풀컨테이너선,01,양적하,KRPUS,부산,JPTHS,TOYOHASHI,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,True,울산항
